,Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
286,MSN Laboratories,2.4k,3.7,Pharma,8.5k,137,49,2003,22,"msnlabs.comPrimary IndustryPharmaOther IndustriesManufacturing|HealthcareReplay videoView in video summaryMSN Laboratories is one of the fastest-growing, research based, and fully integrated pharmaceutical companies worldwide, with its headquarters in Hyderabad, India. Founded by CMD Dr. MSN Reddy in 2003, MSN Labs' mission has been to make high-quality medicines affordable and accessible worldwide.The organization currently boasts 25 state-of-the-art manufacturing facilities (17 for API and 8 for finished dosages) alongside Asia’s Largest Integrated R&D Centre, spanning across India and the USA. The group’s integrated R&D Centre enables research in both API and Finished Dosages under one roof, empowering the organization to swiftly introduce new and cost-effective therapies in global markets. Supported by a dedicated team of over 20,000 experienced professionals, the organization has gained global recognition for its innovation, quality, and swift delivery.MSN Labs maintains robust regulatory protocols and streamlined approval processes, ensuring that our pharmaceutical products meet international benchmarks. This has positioned us as a trusted global provider of pharmaceuticals, earning accreditations from reputable organizations such as USFDA, WHO, KSFDA, EDQM, PMDA Japan, and Health Canada. Our commitment to enhancing the regulatory framework promises that the medicines manufactured at our state-of-the-art facilities meet the highest standards of safety, efficacy, and quality.MSN Group highlights: 25 Manufacturing units (including one in USA)20000 employees globally and presence in over 100 countries World no. 1 in active US DMF filings, one stop solution – End to end integration Having one of Asia’s largest R&D center with over 2000 scientists Revenue of over 1 Billion $Manufacturing capacities: Small to Large batch size for API and Formulations – This enables flexibility for our customers World class manufacturing facilities with global accreditations Online Project management systems – Transparent and Realtime communications Regulatory Achievements and AccreditationsFiled over 1200 total number of Drug master files globallyFiled over 170 Abbreviated New Drug Applications in USA and over 3000-finished product Dossiers worldwide.ISO 9001:2000 certification (< 20 months of inception) and ISO 45001 for Health and safety, ISO 14001 for environmental management systemWHO:GMP approval (< 24 months of inception)EU:GMP approval (< 48 months of inception)USFDA approval (< 52 months of inception) Department of Science & Technology, Govt. of India.Department of Scientific and Industrial Research, Govt. of IndiaHamburg Authorities, Germany.Korean FDA approval.WHO Geneva inspectionPMDA – JapanSustainable futureAs a global company, we hold a substantial responsibility and a great opportunity to assume a leadership role in promoting and advancing Environmental, "
287,ElasticRun,2.4k,3.5,Logistics,6.3k,255,6,2016,9,elastic.run
288,Fiserv,2.4k,3.0,FinTech,18.4k,176,41,1984,41,fiserv.com
289,PhonePe,2.5k,4.0,FinTech,10.6k,313,147,2015,10,phonepe.com
290,Apollo Tyres,2.4k,4.0,Auto Components,9.5k,134,3,1972,53,apollotyres.com
291,Nestle,2.4k,3.9,FMCG,9.3k,240,76,1959,66,nestle.in
292,IKS Health,2.4k,3.6,BPO,10.1k,235,42,2007,18,ikshealth.com
293,Statestreet HCL Services,2.3k,3.3,BPO,15.9k,211,--,2012,13,"statestreet.comPrimary IndustryBPOOther IndustriesBPO/KPOAre you managing Statestreet HCL Services's employer brand? To edit company information,claim this page for freeReplay videoView in video summaryStatestreet HCL Services (india) Private Limited is a Subsidiary of Foreign Company, incorporated on 06 Jan, 2012. It's a private unlisted company and is classified as 'company limited by shares'. The company is engaged in providing of processing and support-facilities for rendering accounting, data processing and customer support services.Managing your company's employer brand?Claim this Company Page for FREEClaim NowStatestreet HCL Services RatingsView allbased on 2.3k reviewsOverall Rating3.3/5How AmbitionBox ratings work?55314681352722421347Category Ratings3.7Job security3.2Skill development3.1Work-life balance3.0Company culture3.0Work satisfaction2.7Salary2.7PromotionsStatestreet HCL Services is rated 3.3 out of 5 stars on AmbitionBox, based on 2.3k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Statestreet HCL Servicesbased on 2.3k reviews3.5Rated by 697 WomenRated 3.7 for Job security and 3.4 for Skill development 3.3Rated by 1.6k MenRated 3.7 for Job security and 3.1 for Skill development Work Policy at Statestreet HCL Services based on 99 reviews in last 6 monthsWork from office57%Hybrid40%Permanent work from home3%Statestreet HCL Services ReviewsView allTop mentions in Statestreet HCL Services ReviewsSalary (392)Senior Management (329)Work Life Balance (266)Job Security (210)Work Culture (202)+ 5 moreLikes:Good culture. Good learning. Overall niceDislikes:Job security. No goodies or awards are given to employees to enco...Senior Analyst in CoimbatoreFinance & Accounting - Other5.0 • posted on 27 Nov 2024Likes:Good culture. Good learning. Overall niceSalary - Good+4 moreDislikes:Job security. No goodies or awards are given to employees to enco...Job security - BadLikes:Work is easy as compared to other captive companies.Dislikes:There is no ease to give work from home, leaves are also not allo...Specialist in PuneOperations Support3.0 • posted on 07 Nov 2024Likes:Work is easy as compared to other captive companies.Dislikes:There is no ease to give work from home, leaves are also not allo...Salary - Poor+5 moreLikes:Supporting colleagues.Dislikes:Managers behaviour is not good about team members. He thoughts li...Analyst in PuneInvestment Banking, Private Equity & VC3.0 • posted on 19 Aug 2024Likes:Supporting colleagues.Job security - GoodDislikes:Managers behaviour is not good about team members. He thoughts li...Work satisfaction - Poor+2 moreLikes:Teams work together, people are helpful here. We get to learn things, but somehow we also get less time to communic...Dislikes:Working hours. Internal culture. No leaves granted. No hybrid wor...Senior Financial Analyst in PuneBack Office3.0 • posted on 26 Jun 2024Likes:Teams work together, people are helpful here. We get to learn things, but somehow we also get less time to communic...Skill development - GoodDislikes:Working hours. Internal culture. No leaves granted. No hybrid wor...Job security - Poor+3 moreLikes:This company is a good fit for those who want to start there career in Investment banking. Senior management is ver...Dislikes:Not as such overall its a good company for freshersFinancial Analyst in PuneBanking Operations5.0 • posted on 18 Jun 2024Likes:This company is a good fit for those who want to start there career in Investment banking. Senior management is ver...Salary - Good+6 moreDislikes:Not as such overall its a good company for freshersLikes:There is nothing to like about this company, BU Head for Operations sucks and they will blame managers for their mi...Dislikes:ESS Team sucks, HR team worst in Coimbatore, FnF F**k n Forget Te...Deputy Manager in CoimbatoreBanking Operations1.0 • posted on 21 May 2024Likes:There is nothing to like about this company, BU Head for Operations sucks and they will blame managers for their mi...Dislikes:ESS Team sucks, HR team worst in Coimbatore, FnF F**k n Forget Te...Salary - Bad+5 moreLikes:Work culture salary on month very good for freshers and growth oriented companyDislikes:Job security travel long from centre of the city and poor managem...Analyst in ChennaiBanking Operations4.0 • posted on 24 Apr 2024Likes:Work culture salary on month very good for freshers and growth oriented companySalary - Good+3 moreDislikes:Job security travel long from centre of the city and poor managem...Job security - PoorLikes:NothingDislikes:Avoid going here if you are from captive! Big no no organization....Group Manager in PuneOperations1.0 • posted on 14 Mar 2024Likes:NothingDislikes:Avoid going here if you are from captive! Big no no organization....Salary - Poor+5 moreLikes:Dislikes:Senior Analyst in PuneFinance3.0 • posted on 15 Apr 2025Dislikes:Salary - BadSkill development - Bad+5 moreLikes:Dislikes:Officer in ChennaiBusiness Intelligence & Analytics2.0 • posted on 06 Apr 2025Dislikes:Salary - PoorSkill development - Poor+2 moreCompare Statestreet HCL Services with Similar CompaniesStatestreet HCL ServicesWNSChange CompanyTeleperformanceChange CompanyiEnergizerChange CompanyOverall Rating3.3/5based on 2.3k reviews3.4/5based on 12.5k reviews3.9/5based on 31k reviews4.6/5based on 23.4k reviewsHighly Rated forNo highly rated categoryNo highly rated categorySkill developmentWork-life balanceJob securitySkill developmentWork-life balanceSalaryCritically Rated forSalaryPromotionsCompany culturePromotionsSalarySkill developmentNo critically rated categoryNo critically rated category"
294,GATI-KWE ,2.3k,3.9,Logistics,5.6k,89,5,2012,13,gati.com
295,Suzlon Group,2.3k,4.1,Power,7.6k,132,49,1995,30,suzlon.com
296,Zomato,2.4k,3.8,Internet,13.1k,317,3,2008,17,eternal.com 
297,Landmark Group,2.3k,4.0,Retail,9.2k,152,3,1973,52,landmarkgroup.com
298,AGS Health,2.3k,4.0,Analytics & KPO,10.6k,164,29,2011,14,agshealth.com
299,IDFC FIRST Bharat ,2.3k,4.4,Financial Services,4.6k,112,--,2016,9,idfcbharat.com
300,Sammaan Capital Limited,2.3k,3.7,NBFC,7.3k,105,21,2005,20,indiabullshomeloans.com 
301,Blue Dart Express,2.3k,4.0,Logistics,6.4k,104,4,1983,42,bluedart.com
302,BlackBuck,2.3k,3.8,Internet,6.5k,184,7,2015,10,blackbuck.com
303,Fujitsu,2.3k,3.8,IT Services & Consulting,16.3k,189,82,1935,90,fujitsu.com
304,DS Group,2.3k,4.1,FMCG,6.8k,155,35,1929,96,"dsgroup.comPrimary IndustryFMCGOther IndustriesAgriculture|Food Processing|Retail|Beverage|HospitalityReplay videoView in video summaryThe DS Group (Dharampal Satyapal Group) is a Multi-Business Corporation and one of the leading Fast Moving Consumer Goods (FMCG) conglomerate with strong Indian and International presence. Founded in the year 1929, it is an inspiring and successful business story that blends a remarkable history and legacy with visionary growth and innovation. The Group continues to build successful brands across many categories and its undeterred pursuit for ‘Quality & Innovation’ has given impetus to consumer loyalty and satisfaction. The Group’s portfolio is extensive and diverse with presence in Mouth Freshener, Food and Beverage, Confectionery, Hospitality, Agri, Luxury Retail, Tobacco businesses and also other investments. Rajnigandha, Catch, Pulse, FRU, Maze, Ksheer, Pass Pass, BABA, Tulsi, L’Opera, Le Marche, Birthright, The Manu Maharani and Namah are some of the leading brands, the Group proudly shelters today. Guided by a clear set of values and built on a strong foundation of collective good, Corporate "
305,Paras Hospital,2.3k,4.4,Healthcare,3k,82,25,2006,19,parashospitals.com
306,Yazaki,2.3k,3.8,Auto Components,8.2k,139,6,1941,84,yazaki-group.com
307,Shree Cement,2.3k,3.8,Building Material,9.3k,164,--,1979,46,shreecement.com
308,Domino's Pizza,2.3k,3.9,,4.2k,90,--,1960,65,dominos.com
309,Tata Elxsi,2.3k,3.8,IT Services & Consulting,19.6k,307,22,1989,36,tataelxsi.com
310,XpressBees,2.3k,3.6,,7.7k,169,4,2015,10,xpressbees.com
311,Bajaj Electricals,2.3k,4.0,Consumer Electronics & Appliances,7.7k,128,65,1938,87,bajajelectricals.com
312,Britannia,2.3k,4.0,FMCG,7.7k,173,11,1892,133,britannia.co.in
313,Micro Labs,2.3k,3.6,Pharma,9.6k,132,9,1973,52,microlabsltd.com
314,KPMG Global Services,2.3k,3.5,Management Consulting,20.1k,228,--,,,kpmg.com
315,Sterlite Technologies,2.2k,3.8,Hardware & Networking,10.2k,167,75,1988,37,stl.tech
316,Exide Industries,2.2k,3.5,Auto Components,8k,176,53,1947,78,exideindustries.com
317,G4S,2.2k,4.0,Law Enforcement & Security,4.9k,103,28,1996,29,g4s.com
318,Indus Towers,2.3k,3.8,Hardware & Networking,8.2k,187,46,2007,18,industowers.com
319,Axis Direct,2.2k,3.8,Financial Services,5.3k,79,12,1995,30,kochartech.com
320,KocharTech,2.2k,3.9,IT Services & Consulting,3.9k,73,48,2011,14,axisdirect.in
321,TVS Supply Chain Solutions,2.2k,3.8,,8.2k,136,3,1896,129,tvsscs.com
322,Voltas,2.2k,4.0,Consumer Electronics & Appliances,8.3k,133,5,1954,71,voltas.com
323,Capgemini Engineering,2.2k,3.5,IT Services & Consulting,16.7k,370,99,,,capgemini.com
324,McDonald's,2.2k,4.1,,4.7k,126,3,1955,70,mcdonalds.com
325,VVDN Technologies,2.2k,3.6,IT Services & Consulting,11.8k,203,10,2007,18,vvdntech.com
326,KFintech,2.2k,3.5,FinTech,10k,143,12,2017,8,kfintech.com
327,Jindal Stainless,2.2k,4.2,Iron & Steel,10k,220,6,1970,55,jslstainless.com
328,ZS,2.2k,3.3,Management Consulting,16.8k,457,160,1983,42,zs.com 
329,Patanjali Ayurved,2.2k,3.9,FMCG,6.3k,112,--,2006,19,patanjaliayurved.net
330,Alldigi Tech,2.2k,4.0,BPO,7.1k,202,34,2000,25,allsectech.com
331,Blinkit,2.2k,3.7,Internet,9.5k,199,--,2013,12,blinkit.com
332,Fortis Healthcare,2.2k,4.0,Healthcare,7.4k,134,78,1996,29,fortishealthcare.com 
333,Dalmia Bharat Cement,2.2k,4.0,Building Material,8.2k,148,1,1935,90,dalmiacement.com
334,Tractors and Farm Equipment,2.1k,4.0,Industrial Machinery,8.2k,111,13,1960,65,tafe.com
335,SRF,2.2k,4.1,Chemicals,8.2k,184,12,1970,55,srf.com
336,Shell,2.2k,4.0,Oil & Gas,13.3k,197,10,1907,118,shell.in
337,Blue Star,2.1k,4.1,Consumer Electronics & Appliances,9.2k,169,33,1943,82,bluestarindia.com 
338,ACT Fibernet,2.2k,4.0,Telecom,7.5k,139,57,2008,17,actcorp.in
339,NoBroker,2.1k,3.2,Real Estate,9.4k,241,91,2014,11,nobroker.in
340,Movate,2.1k,3.3,IT Services & Consulting,13.9k,264,82,1996,29,movate.com
341,Himalaya Wellness,2.1k,4.1,,5.9k,116,6,1930,95,himalayawellness.in
342,Taj Hotels Resorts and Palaces,2.1k,4.2,,4.7k,123,--,1903,122,tajhotels.com
343,Sonalika Tractors,2.1k,3.7,Automobile,8.5k,133,--,1969,56,sonalika.com
344,Huawei Technologies,2.1k,4.0,Telecom,9.9k,116,2,2002,23,huawei.com
345,Kansai Nerolac Paints,2.1k,3.8,Chemicals,7k,157,4,1920,105,nerolac.com
346,Ajanta Pharma,2.1k,4.0,Pharma,8.6k,124,25,1973,52,ajantapharma.com
347,V-Mart,2.1k,4.1,Retail,4.3k,152,18,2002,23,vmartretail.com
348,Datamatics Global Services,2.1k,3.4,IT Services & Consulting,11.6k,165,95,1975,50,datamatics.com
349,Foundever,2.1k,3.6,BPO,7.7k,152,98,1985,40,foundever.com
350,Lava International,2k,4.0,Consumer Electronics & Appliances,4.7k,72,5,2009,16,lavamobiles.com
351,Info Edge,2.1k,3.9,Internet,11.2k,328,457,1995,30,infoedge.in 
352,Mahindra Rural Housing Finance,2k,4.0,NBFC,4.9k,88,15,2007,18,"mahindrahomefinance.comPrimary IndustryNBFCOther Industries--Are you managing Mahindra Rural Housing Finance's employer brand? To edit company information,claim this page for freeReplay videoView in video summaryMahindra Rural Housing Finance Limited (MRHFL), a subsidiary of Mahindra and Mahindra Financial Services Limited (MMFSL), has been established to provide Home Loans primarily in rural areas. MMFSL has been operating in Rural India for over 25 years by concentrating on financing farm equipment and vehicles for the under-banked customers. MRHFL identified a market for Home Loans designed specifically for the under served, fulfilling its mission of ""Transforming Lives""​. Since inception in April 2007, MRHFL has opened operations in 13 states namely: Maharashtra, Gujarat, Rajasthan, Madhya Pradesh, Tamil Nadu, Andhra Pradesh, Telangana, Uttar Pradesh, Uttarakhand, Chattisgarh, Karnataka, Kerala and Bihar.Managing your company's employer brand?Claim this Company Page for FREEClaim NowMahindra Rural Housing Finance RatingsView allbased on 2k reviewsOverall Rating4.0/5How AmbitionBox ratings work?51.1k448032492861161Category Ratings3.9Work-life balance3.8Company culture3.8Skill development3.7Job security3.7Salary3.7Work satisfaction3.4PromotionsMahindra Rural Housing Finance is rated 4.0 out of 5 stars on AmbitionBox, based on 2k company reviews. This rating reflects a generally positive employee experience, indicating satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Mahindra Rural Housing Financebased on 1.9k reviews3.6Rated by 99 WomenRated 3.5 for Work-life balance and 3.5 for Skill development 4.0Rated by 1.8k MenRated 3.9 for Work-life balance and 3.8 for Company culture Work Policy at Mahindra Rural Housing Finance based on 213 reviews in last 6 monthsWork from office79%Hybrid14%Permanent work from home7%Mahindra Rural Housing Finance ReviewsView allTop mentions in Mahindra Rural Housing Finance ReviewsSalary (241)Work Culture (128)Work Environment (116)Senior Management (106)Job Security (99)+ 5 moreLikes:Because that is a big company.Dislikes:I want to leave my current job because I am looking for more lead...Associate in MumbaiFinance5.0 • posted on 21 Mar 2025Likes:Because that is a big company.Salary - Excellent+6 moreDislikes:I want to leave my current job because I am looking for more lead...Likes:Good company and their manager was good person Mahindra rural housing finance company all times goodDislikes:Work pressure,they are not understanding employees problem,not ba...Customer Service Manager in NagpurSCM & Logistics5.0 • posted on 25 Feb 2025Likes:Good company and their manager was good person Mahindra rural housing finance company all times goodSalary - Excellent+6 moreDislikes:Work pressure,they are not understanding employees problem,not ba...Likes:I like to work in this company due to job secured and work life balance, salary company culture and all the things...Dislikes:NACredit Officer in KarurOperations5.0 • posted on 28 Jan 2025Likes:I like to work in this company due to job secured and work life balance, salary company culture and all the things...Salary - Excellent+6 moreDislikes:NALikes:Do not join this company this is company take amount from employee where he or she resign if his not agree to pay o...Dislikes:There is no job security and salary growth, no work life balance...Customer Service and Operations Executive in ThaneOperations1.0 • posted on 17 Jan 2025Likes:Do not join this company this is company take amount from employee where he or she resign if his not agree to pay o...Dislikes:There is no job security and salary growth, no work life balance...Salary - Bad+6 moreLikes:Yes I like working in Mahindra Home finance but I expect more to grow in my professional life.Dislikes:There are no proper employee benefits and leaves.Branch Credit Manager in VijayawadaFinance4.0 • posted on 16 Jan 2025Likes:Yes I like working in Mahindra Home finance but I expect more to grow in my professional life.Skill development - Excellent+2 moreDislikes:There are no proper employee benefits and leaves.Likes:Company had a good work culture...but that has changed over time...Dislikes:No work life balance, promotions are based on favouritism, no sco...Deputy Manager in MumbaiRecruitment & Talent Acquisition2.0 • posted on 14 Jan 2025Likes:Company had a good work culture...but that has changed over time...Dislikes:No work life balance, promotions are based on favouritism, no sco...Salary - Poor+6 moreLikes:Only Managers at regional offices makes right ful decisions but the same can't be accepted at head office bcz at he...Dislikes:Company is turning out to be best in inculcating the worst cultur...Regional Risk Manager in VijayawadaRisk Management & Compliance - Other1.0 • posted on 11 Jan 2025Likes:Only Managers at regional offices makes right ful decisions but the same can't be accepted at head office bcz at he...Dislikes:Company is turning out to be best in inculcating the worst cultur...Salary - Bad+6 moreLikes:Very good work place culture in mahindra rural housing finance Ltd.very good support Business Head ,HR head and all...Dislikes:Traveling claim Fixed not mom argestbalSales Officer in UdgirCustomer Success5.0 • posted on 15 Dec 2024Likes:Very good work place culture in mahindra rural housing finance Ltd.very good support Business Head ,HR head and all...Salary - Good+6 moreDislikes:Traveling claim Fixed not mom argestbalLikes:Office timing and old business and medical policyDislikes:There are many cases of casteist politics and the one who is a cl...Deputy Branch Manager in UdgirFinance4.0 • posted on 14 Dec 2024Likes:Office timing and old business and medical policyWork-life balance - GoodDislikes:There are many cases of casteist politics and the one who is a cl...Salary - Poor+2 moreLikes:New teaching skill,new ideas about the work, Motivation things in the webcast from senior.Dislikes:We are working in rural areas.we need & I personally want to rise...Branch Manager in LakhandurSales Support & Operations5.0 • posted on 29 Nov 2024Likes:New teaching skill,new ideas about the work, Motivation things in the webcast from senior.Skill development - Excellent+3 moreDislikes:We are working in rural areas.we need & I personally want to rise...Salary - Poor+1 moreCompare Mahindra Rural Housing Finance with Similar CompaniesMahindra Rural Housing FinanceHDB Financial ServicesChange CompanyIIFL FinanceChange Company Bajaj FinanceChange CompanyOverall Rating4.0/5based on 2k reviews3.9/5based on 21.1k reviews4.0/5based on 5.4k reviews4.0/5based on 7k reviewsHighly Rated forWork-life balanceSkill developmentCompany cultureSkill developmentJob securityCompany cultureWork-life balanceSkill developmentSalarySalarySkill developmentJob securityCritically Rated forNo critically rated categoryPromotionsNo critically rated categoryNo critically rated category"
353,suzuki motor gujarat,2k,4.2,Automobile,7.3k,179,12,,,marutisuzuki.com
354,Akums Drugs & Pharmaceuticals Limited,2k,4.4,Pharma,6k,298,13,2004,21,akums.in
355,Simplex Infrastructures,2k,3.3,Engineering & Construction,5.6k,69,--,1924,101,simplexinfra.com
356,Lifestyle,2k,4.3,Retail,7k,67,11,1999,26,lifestylestores.com
357,Aditya Birla Group,2k,4.1,Building Material,10.1k,200,1,1857,168,adityabirla.com
358,3i Infotech,2k,3.4,IT Services & Consulting,10.8k,148,45,1993,32,3i-infotech.com
359,MagicBricks,1.4k,4.4,Internet,4.3k,334,44,2006,19,magicbricks.com
360,Unacademy,2k,3.0,EdTech,9.7k,212,133,2015,10,unacademy.com
361,Cholamandalam MS General Insurance,2k,3.8,Insurance,5.8k,95,--,2001,24,cholainsurance.com
362,Gallagher,2k,3.7,Insurance,12.1k,227,35,1927,98,linktr.ee 
363,ESAF Small Finance Bank,2k,3.7,Banking,6.6k,121,32,2016,9,esafbank.com
364,Mahindra Holidays & Resorts,2k,3.5,Hospitality,5.9k,105,59,1996,29,clubmahindra.com
365,BT Group,2k,3.9,Telecom,10.7k,187,9,1846,179,bt.com
366,Cybage,2k,3.8,IT Services & Consulting,16.8k,194,24,1995,30,"cybage.comPrimary IndustryIT Services & ConsultingOther Industries--Are you managing Cybage's employer brand? To edit company information,claim this page for freeReplay videoView in video summaryCybage Software Pvt. Ltd. is a technology consulting organization specializing in outsourced product engineering services. As a leader in the technology and product engineering space, Cybage works with some of the world's best Independent Software Vendors (ISVs). Our solutions are focused on modern technologies, and are enabled by a scientific, data-driven system called DecisionMines™ for Digital Excellence. This unique model de-risks our approach, provides better predictability, and ensures a better value per unit cost to our clients.Mission: We deliver value scientifically through a data-driven model of operational excellence and a sharp focus on using new-age technologies to provide seamless services and dependable deliveries.Vision: With a laser-sharp focus on technology, Cybage solves complex problems for its clients using new-generation technologies for Cloud, Mobility, E-commerce, Data Analytics, "
367,Ola Cabs,2k,3.4,Internet,10.6k,143,8,2010,15,olacabs.com
368,Myntra,2k,4.0,Internet,9.9k,220,56,2007,18,life.myntra.com 
369,ICICI Securities,2k,3.9,Financial Services,8.9k,167,5,1995,30,icicisecurities.com
370,Parle Agro,2k,4.0,Beverage,6.4k,108,4,1984,41,parleagro.com
371,Intellect Design Arena,2k,3.9,Software Product,12k,163,13,2011,14,intellectdesign.com Company contact no.4466155100 
372,Delhi Public School,2k,3.9,,5.4k,114,66,1998,27,"dpsfamily.orgPrimary Industry--Other Industries--Are you managing Delhi Public School's employer brand? To edit company information,claim this page for freeThe DPS Society is a non-profit, non-proprietary, private, educational organization. This Global Network of over 200 English medium, co-educational, secular schools provides education from Pre-Nursery/Nursery to Class XII. The DPS Family – with its transcontinental identity, is not merely a list of institutions, persons or facts; it is a network of values, systems and relationships.Vision: To empower students with values, knowledge and skills to be successful in their career and life in a rapidly changing society.Managing your company's employer brand?Claim this Company Page for FREEClaim NowDelhi Public School RatingsView allbased on 2k reviewsOverall Rating3.9/5How AmbitionBox ratings work?59854392321721031286Category Ratings3.8Skill development3.7Salary3.6Company culture3.6Job security3.6Work-life balance3.6Work satisfaction3.4PromotionsDelhi Public School is rated 3.9 out of 5 stars on AmbitionBox, based on 2k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Delhi Public Schoolbased on 1.8k reviews3.9Rated by 956 WomenRated 3.9 for Skill development and 3.6 for Work-life balance 3.9Rated by 819 MenRated 3.8 for Skill development and 3.7 for Work-life balance Work Policy at Delhi Public School based on 169 reviews in last 6 monthsWork from office83%Hybrid9%Permanent work from home8%Delhi Public School ReviewsView allTop mentions in Delhi Public School ReviewsSalary (237)Senior Management (228)Work Environment (222)Work Culture (140)Learning (136)+ 5 moreLikes:I had a disappointing experience at Delhi Public School Gaya. Initially, I was impressed by the school's profession...Dislikes:PRE "
373,Eureka Forbes,2k,3.7,Consumer Electronics & Appliances,5.5k,72,3,1982,43,eurekaforbes.com
374,Care Health Insurance,2k,3.6,Internet,8k,122,58,2012,13,careinsurance.com
375,Syngene International,2k,3.9,Clinical Research,11.6k,163,56,1993,32,syngeneintl.com
376,JCB,2k,3.9,,9k,138,--,1945,80,jcb.com
377,State Street Syntel,1.9k,3.7,Financial Services,8.7k,76,--,2004,21,syntelinc.com
378,Biocon Limited,2k,3.9,Biotechnology,11.6k,158,17,1978,47,biocon.com
379,Emcure Pharmaceuticals,2k,3.7,,8.1k,104,42,1983,42,emcure.com
380,IntouchCX,2k,2.9,BPO,8.4k,201,91,2001,24,intouchcx.com
381,Radisson Hotels,2k,4.1,,5.4k,79,131,1909,116,radissonhotels.com
382,Xoriant,2k,4.1,IT Services & Consulting,11.1k,189,46,1990,35,xoriant.com Company contact no.2230511000 E-mailcareers@xoriant.com 
383,Nokia Networks,1.9k,4.2,Hardware & Networking,11.7k,113,--,,,nokia.com
384,Canara HSBC Life Insurance,2k,3.6,Insurance,6.3k,104,7,2008,17,canarahsbclife.com
385,Star Health & Allied Insurance,2k,3.6,Insurance,8.5k,113,13,2006,19,starhealth.in
386,DBS Bank,2k,3.8,Banking,12.4k,166,108,1968,57,dbs.com
387,Extramarks Education,1.9k,3.4,EdTech,8k,164,24,2007,18,extramarks.com
388,Adani Power,2k,3.9,Power,8.2k,235,--,2006,19,adanipower.com
389,Cloudnine Hospital,2.1k,4.4,Healthcare,2.6k,221,248,2007,18,cloudninecare.com
390,Planet Spark,2k,3.7,EdTech,3k,396,63,2017,8,planetspark.in
391,Bharat Financial Inclusion,2k,3.9,NBFC,4.2k,75,14,1998,27,bfil.co.in
392,Cadila Pharmaceuticals,1.9k,3.5,Pharma,7.3k,121,30,1951,74,cadilapharma.com
393,Ninjacart,1.9k,4.0,Internet,5.7k,97,9,2015,10,ninjacart.in
394,Indian Railways,1.9k,4.1,Railways,3.5k,89,--,1853,172,indianrailways.gov.in
